Title,Release Date,Game Score,Developer,Publisher,Genre,Platforms,Image URL
Chinatown Detective Agency,"Apr 7, 2022",66,General Interactive Co.,Humble Games,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/9/2/5/3/503204-729253.jpg
Animal Crossing: New Horizons,"Mar 20, 2020",90,Nintendo,Nintendo,Simulation,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3549399-cq5dam.thumbnail.319.319.png
Oddworld: Soulstorm,"Apr 6, 2021",67,Oddworld Inhabitants,Microids,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3537139-oddworld_soulstorm_logo.gif
MindSeize,"Feb 7, 2020",74,Kamina Dimension,First Press Games,2D,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/7/4/5/9/483810-677459.jpg
Mario Party Superstars,"Oct 29, 2021",80,Nd Cube,Nintendo,Party/Minigame,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/2/6/533304-803826.jpg
Fire Emblem Warriors: Three Hopes,"Jun 24, 2022",80,Koei Tecmo Games,Nintendo,3D,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/2/3/9/9/557730-852399.jpg
Life is Strange,"Feb 1, 2022",85,Feral Interactive,Square Enix,Action,PC,https://www.gamespot.com/a/uploads/scale_tiny/1197/11970954/2830331-image.jpeg
Fight Crab,"Jul 29, 2020",60,Calappa Games,Nussoft,Action,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/2/479392-665772.jpg
Eiyuden Chronicle: Hundred Heroes,"Apr 21, 2024",79,Rabbit & Bear Studios,505 Games,Role-Playing,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/2/5/3/516194-761253.jpg
WWE 2K23,"Mar 14, 2023",82,Visual Concepts,2K Games,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/5/0/580650-915950.jpg
Dragon Ball Z: Kakarot,"Jan 17, 2020",73,CyberConnect2,Bandai Namco Games,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/4/5/491984-716045.jpg
Super Monkey Ball: Banana Mania,"Oct 2, 2021",76,Sega,Sega,Compilation,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/2/5/533303-803825.jpg
Prince of Persia: The Lost Crown,"Jan 15, 2024",86,Ubisoft Montpellier,Ubisoft,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/6/0/9/590624-941609.jpg
Cyber Shadow,"Jan 26, 2021",82,"Aarne ""MekaSkull"" Hunziker",Yacht Club Games,Platformer,"PC, Nintendo Switch, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/6/8/6/9/494693-706869.jpg
The Dark Pictures Anthology: Little Hope,"Oct 30, 2020",71,SuperMassive Games,Bandai Namco Games,Third-Person,"Nintendo Switch, PC, Playstation 5",https://www.gamespot.com/a/bundles/gamespotsite/images/box-art--square.jpg
Sable,"Sep 23, 2021",76,Shed-Works,Raw Fury,Adventure,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/6/1/483366-676061.jpg
Super Mario Bros. 35,"Oct 1, 2020",75,Nintendo,Nintendo,2D,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/8/4/518189-766084.jpg
Forza Horizon 5,"Nov 5, 2021",92,PLAYGROUND,Xbox Game Studios,Simulation,"PC, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/5/3/0/533238-803530.jpg
Pokemon UNITE,"Jul 21, 2021",70,TiMi Studios,The Pokemon Company,MOBA,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/7/3/5/1/514446-757351.jpg
Road 96,"Aug 16, 2021",79,Digixart Entertainment,Digixart Entertainment,First-Person,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/7/4/7/523755-779747.jpg
Destroy All Humans!,"Jul 28, 2020",70,Black Forest Games,THQ Nordic,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/3/8/6/497565-715386.jpg
FIFA 23,"Sep 27, 2022",76,EA Canada,Electronic Arts,Simulation,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/1/3/0/567286-881130.jpg
Disc Room,"Oct 22, 2020",83,Terri,Devolver Digital,Puzzle,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/2/4/508833-743824.jpg
Tunic,"Mar 16, 2022",85,Andrew Shouldice,Finji,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/9/7/2/465562-633972.jpg
I Am Dead,"Oct 8, 2020",79,Hollow Ponds,Annapurna Interactive,Adventure,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/6/0/509652-745960.jpg
Returnal,"Apr 30, 2021",86,Housemarque,Sony Interactive Entertainment,Third-Person,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/6/3/513785-755763.jpg
Ghostbusters: Spirits Unleashed,"Oct 18, 2022",68,IllFonic,IllFonic,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/3/2/9/561168-861329.jpg
The Forgotten City,"Jul 28, 2021",85,Modern Storyteller,Ubitus,Adventure,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/4/7/483405-676047.jpg
Blasphemous 2,"Aug 24, 2023",84,The Game Kitchen,Team 17,Action,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/4/4/5/9/537139-814459.jpg
Cursed to Golf,"Aug 18, 2022",80,Chuhai Labs,Thunderful,Golf,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/4/6/2/4/537207-814624.jpg
The King of Fighters XV,"Feb 14, 2022",79,SNK Corporation,SNK Corporation,2D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/2/5/4/490128-806254.jpg
Kirby and the Forgotten Land,"Mar 25, 2022",85,HAL Labs,Nintendo,Platformer,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/8/6/3/3/538660-818633.jpg
Sherlock Holmes: Chapter One,"Nov 16, 2021",69,Frogwares,Frogwares,3D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/5/3/9/512765-753539.jpg
Othercide,"Jul 27, 2020",78,Lightbulb Crew,Focus Home Interactive,Turn-Based,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/0/6/0/486620-685060.jpg
Unicorn Overlord,"Mar 8, 2024",87,Vanillaware,Sega,Strategy,"Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/8/5/5/603156-966855.jpg
Marvel's Midnight Suns,"Dec 2, 2022",83,Firaxis Games,2K Games,Strategy,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/4/7/536957-813747.jpg
Princess Peach: Showtime!,"Mar 22, 2024",74,Good-Feel,Nintendo,Adventure,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/4/7/0/2/591679-944702.jpg
Evil Dead: The Game,"May 13, 2022",72,Saber Interactive,Saber Interactive,3D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/7/3/8/523752-779738.jpg
Alan Wake II,"Oct 27, 2023",89,Remedy Entertainment,Epic Games,Survival,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/8/5/547391-835785.jpg
Fuser,"Nov 9, 2020",81,Harmonix Music Systems,NCSOFT,Music/Rhythm,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/4/1/2/6/508938-744126.jpg
Mortal Kombat 1,"Sep 14, 2023",83,NetherRealm Studios,Warner Bros. Games,2D,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/1/3/3/583167-922133.jpg
Teardown,"Apr 21, 2022",80,Tuxedo Labs,Tuxedo Labs,Adventure,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/8/3/7/2/502861-728372.jpg
Amnesia: Rebirth,"Sep 15, 2020",80,Frictional Games,Frictional Games,3D,"PC, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/4/9/9/0/509250-744990.jpg
Persona 5 Royal,"Mar 31, 2020",95,ATLUS,ATLUS,Role-Playing,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3591396-p5.jpg
Bayonetta 3,"Oct 28, 2022",86,PlatinumGames,Nintendo,Adventure,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/7/8/2/0/476073-657820.jpg
Streets of Rage 4,"Apr 30, 2020",84,Seaven Studio,Playdigious,2D,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3582359-keyart_v1.jpg
NBA 2K23,"Sep 9, 2022",78,2K Games,2K Sports,Basketball,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/0/6/5/566801-879065.jpg
Signalis,"Oct 27, 2022",81,rose-engine,Humble Games,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/8/6/510280-747686.jpg
Kirby Fighters 2,"Sep 23, 2020",65,HAL Labs,Nintendo,2D,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/8/8/2/4/519410-768824.jpg
AEW: Fight Forever,"Jun 29, 2023",64,Yuke's,THQ Nordic,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/6/0/6/522054-775606.jpg
Trials of Mana,"Apr 24, 2020",76,Xeen,Square Enix,Role-Playing,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/6/4/17633-715964.jpg
Salt and Sacrifice,"May 10, 2022",72,Devoured Studios,Ska Studios,Metroidvania,"Nintendo Switch, PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/2/7/1/8/533054-802718.jpg
Assassin's Creed Valhalla,"Nov 10, 2020",80,Ubisoft Montreal,Ubisoft,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3667159-5e84a5065cdf9a21c0b4e737.jpg
Overwatch 2,"Oct 4, 2022",79,Blizzard Entertainment,Blizzard Entertainment,Action,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3599758-ow2_logo_dark.png
KUNAI,"Feb 6, 2020",73,TurtleBlaze,The Arcade Crew,Action,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3630820-header.jpg
Tom Clancy's Rainbow Six Extraction,"Jan 20, 2022",73,Ubisoft Montreal,Ubisoft,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/8/1/2/497714-715812.jpg
Kena: Bridge of Spirits,"Sep 21, 2021",81,Emberlab,Emberlab,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/6/6/513788-755766.jpg
13 Sentinels: Aegis Rim,"Sep 22, 2020",85,Vanillaware,ATLUS,Adventure,Nintendo Switch,https://www.gamespot.com/a/bundles/gamespotsite/images/box-art--square.jpg
The Solitaire Conspiracy,"Oct 6, 2020",70,Mike Bithell,Mike Bithell,Trivia/Board Game,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/8/5/6/5/519287-768565.jpg
Thirsty Suitors,"Nov 2, 2023",80,Outerloop Games,Annapurna Interactive,Action,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/0/547382-835770.jpg
Children of the Sun,"Apr 9, 2024",81,Rene Rother,Devolver Digital,Action,PC,https://www.gamespot.com/a/uploads/scale_tiny/box/8/7/3/4/616458-998734.jpg
Bravely Default II,"Feb 26, 2021",76,Claytech Works,Square Enix,Role-Playing,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/8/2/505924-735982.jpg
Spiritfarer,"Aug 18, 2020",84,Thunder Lotus Games,Netflix,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/6/1/8/497656-715618.jpg
The Talos Principle 2,"Nov 2, 2023",88,Croteam,Devolver Digital,First-Person,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/8/3/9/4/589431-938394.jpg
Sackboy: A Big Adventure,"Nov 12, 2020",79,Sumo Digital,Sony Interactive Entertainment,Platformer,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/6/4/513786-755764.jpg
Escape Academy,"Jun 28, 2022",79,Coin Crew Games,iam8bit,3D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/0/1/5/7/560693-860157.jpg
Voice of Cards: The Isle Dragon Roars,"Oct 28, 2021",75,A-lim,Square Enix,Card Game,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/5/4/537720-816054.jpg
It Takes Two,"Mar 26, 2021",88,Hazelight,Electronic Arts,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/8/6/9/514264-756869.jpg
Unpacking,"Nov 2, 2021",83,Witch Beam,Humble Games,Puzzle,"Playstation 5, PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/3/3/6/8/501039-723368.jpg
Avatar: Frontiers of Pandora,"Dec 7, 2023",72,Massive Entertainment,Ubisoft,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/4/1/6/471775-647416.jpg
Serious Sam 4: Planet Badass,"Sep 24, 2020",68,Croteam,Devolver Digital,3D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/8/8/7/481108-669887.jpg
Outriders,"Apr 1, 2021",73,People Can Fly,Square Enix,3D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/0/9/497347-715909.jpg
Persona 5 Tactica,"Nov 17, 2023",74,P-Studio,ATLUS,Turn-Based,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/4/6/8/590946-942468.jpg
Vampire: The Masquerade - Shadows of New York,"Sep 10, 2020",64,Draw Distance,Draw Distance,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/8/2/7/5/510516-748275.jpg
A Plague Tale: Requiem,"Oct 17, 2022",82,Asobo Studio,Focus Entertainment,Action,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/2/8/1/533232-803281.jpg
Theatrhythm Final Bar Line,"Feb 16, 2023",87,Indies Zero,Square Enix,Music/Rhythm,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/2/0/0/5/572018-892005.jpg
Loop Hero,"Mar 4, 2021",82,Four Quarters,Playdigious,Role-Playing,"PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/7/0/0/523743-779700.jpg
Axiom Verge 2,"Aug 11, 2021",76,Tom Happ,Tom Happ,Action,"PC, Nintendo Switch, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/5/6/1/0/505799-735610.jpg
Journey to the Savage Planet,"Jan 28, 2020",74,Typhoon Studios,505 Games,Adventure,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3536140-unknown.jpg
HYPER DEMON,"Sep 19, 2022",88,Sorath,Sorath,Action,PC,https://www.gamespot.com/a/uploads/scale_tiny/box/3/5/6/8/572474-893568.jpg
Big Brain Academy: Brain vs. Brain,"Dec 3, 2021",73,Nintendo,Nintendo,Party/Minigame,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/5/0/9/3/537382-815093.jpg
Octopath Traveler II,"Feb 24, 2023",85,Acquire,Square Enix,Role-Playing,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/0/0/3/572016-892003.jpg
Open Roads,"Mar 28, 2024",67,Open Roads Team,Annapurna Interactive,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/7/1/5/523748-779715.jpg
Mass Effect Legendary Edition,"May 14, 2021",87,BioWare,Electronic Arts,Compilation,"PC, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/2/3/4/521879-775234.jpg
Marvel's Avengers,"Sep 4, 2020",67,Eidos Montreal,Square Enix,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3710100-avenge.jpg
"El Paso, Elsewhere","Sep 26, 2023",78,Strange Scaffold,Strange Scaffold,Action,"PC, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/1/1/6/532811-802116.jpg
The Mageseeker: A League of Legends Story,"Apr 18, 2023",78,Digital Sun,Riot Forge,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/0/3/0/9/582540-920309.jpg
NORCO,"Mar 24, 2022",89,Geography of Robots,Raw Fury,Adventure,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/8/6/7/5/507051-738675.jpg
Carrion,"Jul 23, 2020",75,Phobia Game Studio,Devolver Digital,Action,"Playstation 5, PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/7/1/4/0/479939-667140.jpg
Tales of Arise,"Sep 10, 2021",87,Bandai Namco Games,Bandai Namco Games,Role-Playing,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/6/4/5/497663-715645.jpg
Valiant Hearts: Coming Home,"Feb 1, 2023",73,Old Skull Games,Netflix,2D,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/8/9/6/9/577614-908969.jpg
Hot Wheels Unleashed 2: Turbocharged,"Oct 16, 2023",77,Milestone S.r.l,Milestone S.r.l,Arcade,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/5/2/6/589832-939526.jpg
Life is Strange: Before the Storm,"Feb 1, 2022",77,Deck Nine Games,Square Enix,Action,PC,https://www.gamespot.com/a/uploads/scale_tiny/1197/11970954/3246170-zyiyuyzk.jpg
The Stanley Parable: Ultra Deluxe,"Apr 27, 2022",90,Crows Crows Crows,Crows Crows Crows,3D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/4/2/0/8/192284-694208.jpg
Ori and the Will of the Wisps,"Mar 11, 2020",90,Mon Studios,iam8bit,Metroidvania,"PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1576/15769789/3246500-oritop.jpg
NBA 2K21,"Sep 3, 2020",68,Visual Concepts,2K Games,Arcade,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/5/513794-755775.jpg
Mortal Shell,"Aug 18, 2020",76,Cold Symmetry,PlayStack,Role-Playing,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/5/3/6/510197-747536.jpg
Twin Mirror,"Dec 1, 2020",65,DONTNOD Entertainment,DONTNOD Entertainment,Adventure,PC,https://www.gamespot.com/a/uploads/scale_tiny/box/5/4/5/3/483268-675453.jpg
Persona 5 Strikers,"Feb 19, 2021",83,Omega Force,ATLUS,Action,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/9/5/9/6/495829-709596.jpg
Treachery in Beatdown City,"Mar 30, 2020",64,Nuchallenger,Nuchallenger,Action,"PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1440/14409144/2230808-default-art--square.jpg
Weird West,"Mar 31, 2022",76,Devolver Digital,Devolver Digital,Role-Playing,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/8/7/505929-735987.jpg
Sonic Origins,"Jun 23, 2022",78,Sega,Sega,Compilation,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/0/8/2/9/532380-800829.jpg
Resident Evil Village,"May 7, 2021",84,Capcom,Capcom,3D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/9/513797-755779.jpg
Eiyuden Chronicle: Rising,"May 10, 2022",71,NATSUME ATARI Inc.,505 Games,Role-Playing,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/2/8/7/533236-803287.jpg
Resolutiion,"May 28, 2020",74,Monolith of Minds,Monolith of Minds,Action,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/4/1/5/6/501308-724156.jpg
Roller Champions,"May 25, 2022",69,Ubisoft Montreal,Ubisoft,Sports,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/8/1/4/497715-715814.jpg
Advance Wars 1 + 2: Re-Boot Camp,"Apr 21, 2023",83,WayForward,Nintendo,Turn-Based,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/3/8/533310-803838.jpg
Umurangi Generation,"May 19, 2020",81,ORIGAME DIGITAL,ORIGAME DIGITAL,VR,"Playstation 5, PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/4/4/508841-743844.jpg
We Are OFK,"Aug 18, 2022",76,Team OFK,Team OFK,Adventure,"Nintendo Switch, PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/9/7/7/3/523765-779773.jpg
Granblue Fantasy: Versus,"Mar 3, 2020",78,Arc System Works,Xseed Games,2D,PC,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3540552-gran.gif
Dead Island 2,"Apr 21, 2023",73,Deep Silver Dambuster Studios,PLAION,3D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1197/11970954/2556638-14384067381_91c642f333_o.jpg
The Pathless,"Nov 12, 2020",77,Giant Squid,Annapurna Interactive,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3594076-screen%20shot%202019-10-18%20at%209.32.30%20am.png
In Other Waters,"Apr 3, 2020",78,Jump Over The Age,Fellow Traveller,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/1/0/0/2/485059-681002.jpg
Bear and Breakfast,"Jul 28, 2022",72,Gummy Cat,Armor Games,Strategy,"PC, Nintendo Switch, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/6/7/517329-763867.jpg
Cloudpunk,"Apr 23, 2020",73,ION LANDS,ION LANDS,Adventure,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/6/3/9/489149-691639.jpg
Microsoft Flight Simulator,"Aug 18, 2020",91,Asobo Studio,Xbox Game Studios,Simulation,"PC, Xbox Series X",https://www.gamespot.com/a/bundles/gamespotsite/images/box-art--square.jpg
MLB The Show 24,"Mar 15, 2024",80,Sony Interactive Entertainment San Diego Studio,MLBAM,Baseball,"Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/9/9/0/616202-997990.jpg
Fire Emblem Engage,"Jan 20, 2023",80,Intelligent Systems,Nintendo,Turn-Based,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/1/9/9/5/572012-891995.jpg
Chicory: A Colorful Tale,"Jun 10, 2021",90,Greg Lobanov,Finji,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/8/6/501181-723786.jpg
Before Your Eyes,"Apr 8, 2021",77,GoodbyeWorld Games,Netflix,VR,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/1/3/9/6/508161-741396.jpg
Olija,"Jan 28, 2021",77,Skeleton Crew Studio,Devolver Digital,Platformer,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/1/9/1/5/485429-681915.jpg
FIFA 22,"Sep 27, 2021",78,EA Canada,Electronic Arts,Simulation,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/2/8/8/534551-807288.jpg
